job title,company name,location,skills,links
Senior Software Testing Engineer,Informatique Education,"Assuit, Assiut, Egypt ",Full timeExperienced · 3+ Yrs of Exp · Information Technology (IT) · Software Engineering · Development · SQL · Agile · Java · Computer Science · Software Development · Engineering · Computer Engineering,https://wuzzuf.net/jobs/p/LkRPrJnHqRff-Senior-Software-Testing-Engineer-Informatique-Education-Assiut-Egypt?o=50&l=sp&t=sj&a=python|search-v3|navbl
Software Tester,Wakeb Data,"Mohandessin, Giza, Egypt ",Full timeExperienced · 2 - 3 Yrs of Exp · Computer Science · Software Testing · Information Technology (IT) · Programming · Testing · Test · Software · Software Programs · PHP · Python,https://wuzzuf.net/jobs/p/Ys9WUm2m8jXF-Software-Tester-Wakeb-Data-Giza-Egypt?o=51&l=sp&t=sj&a=python|search-v3|navbl
Senior SRE/DevOps Engineer,Nana,"Sheraton, Cairo, Egypt ",Full timeExperienced · 4+ Yrs of Exp · Python · Software Engineering · SRE · Computer Science · DevOps · AWS · Docker · Kubernetes · Cyber Security · Linux,https://wuzzuf.net/jobs/p/o2aDGJTwlpxP-Senior-SREDevOps-Engineer-Nana-Cairo-Egypt?o=52&l=sp&t=sj&a=python|search-v3|navbl
Data Science Engineer,"Nile Bits, LLC","6th of October, Giza, Egypt ",Full timeWork from homeExperienced · 2+ Yrs of Exp · Computer Science · Computer Engineering · NoSQL · Information Technology (IT) · Software Development · Python · Cloud · Algorithms · Visualization Tools · PowerBI,https://wuzzuf.net/jobs/p/Xp8BVfZo3KwP-Data-Science-Engineer-Nile-Bits-LLC-Giza-Egypt?o=53&l=sp&t=sj&a=python|search-v3|navbl
Senior Python Developer (Remote - Part Time),Confidential -,"Cairo, Egypt ",Part timeWork from homeExperienced · 3 - 5 Yrs of Exp · Software Development · Python · Computer Science · Information Technology (IT) · javaScript · Flask · React · Django · Bottle · IT/Software Development,https://wuzzuf.net/jobs/p/xgUqkfYngXZL-Senior-Python-Developer-Remote---Part-Time-Cairo-Egypt?o=54&l=sp&t=sj&a=python|search-v3|navbl
Staff Backend Engineer - Customer Team,Nana,"Sheraton, Cairo, Egypt ",Full timeExperienced · 8+ Yrs of Exp · Design · Python · API · Information Technology (IT) · Computer Science · SQL · Customer Service · Troubleshooting · Programming · Software,https://wuzzuf.net/jobs/p/TCGpKfHDbk0Z-Staff-Backend-Engineer---Customer-Team-Nana-Cairo-Egypt?o=55&l=sp&t=sj&a=python|search-v3|navbl
"Software Test Automation Engineer (Selenium, Cypress)",360Imaging,"Dokki, Giza, Egypt ",Full timeWork from homeEntry Level · 1+ Yrs of Exp · Software Testing · Test Automation · Agile · QA · Selenium · Jira · Computer Science · Software · Engineering · API,https://wuzzuf.net/jobs/p/wgbpYrlOlpa4-Software-Test-Automation-Engineer-Selenium-Cypress-360Imaging-Giza-Egypt?o=56&l=sp&t=sj&a=python|search-v3|navbl
Senior Full Stack .Net Developer,GET Group- Egypt,"Sheraton, Cairo, Egypt ",Full timeFreelance / ProjectExperienced · 6 - 7 Yrs of Exp · Information Technology (IT) · Computer Science · Computer Engineering · Software Development · Software Engineering · C# · WPF · MVC · C++ · Python,https://wuzzuf.net/jobs/p/yRyD9keDATNh-Senior-Full-Stack-Net-Developer-GET-Group--Egypt-Cairo-Egypt?o=57&l=sp&t=sj&a=python|search-v3|navbl
DevOps Engineer,TTC Technologies,"Heliopolis, Cairo, Egypt ",Full timeExperienced · 4+ Yrs of Exp · Linux · Apache · MongoDB · GIT · Jenkins · Ansible · Selenium · Python · AWS · Nginx,https://wuzzuf.net/jobs/p/syFHMTVtYwx4-DevOps-Engineer-TTC-Technologies-Cairo-Egypt?o=58&l=sp&t=sj&a=python|search-v3|navbl
Senior Full Stack Developer (PHP Laravel & Vue.js),CrossWorkers,"New Cairo, Cairo, Egypt ",Full timeExperienced · 3+ Yrs of Exp · Information Technology (IT) · Software Development · Laravel · VueJs · AJAX · MySQL · javaScript · PHP Laravel · PHP · Computer Science,https://wuzzuf.net/jobs/p/HIWhx7PGCVAN-Senior-Full-Stack-Developer-PHP-Laravel-Vuejs-CrossWorkers-Cairo-Egypt?o=59&l=sp&t=sj&a=python|search-v3|navbl
